License Number,Pet Shop Name,Address
AS19J00045,181 AQUARIUM,"233, ANG MO KIO AVENUE 3, #01- 1182, KEBUN BARU PALM VIEW, 560233"
AS21G00033,36 HAI YANG PTE. LTD.,"55, CHAI CHEE DRIVE, #01- 182, 460055"
AS16C00015,88 EURO PETS PTE. LTD.,"486, MACPHERSON ROAD, LEVEL 1, 368196"
AS21J00046,88 SUPERSTAR PTE. LTD.,"400, BALESTIER ROAD, #01- 02, BALESTIER PLAZA, 329802"
AS21L00068,8WHISKERS,"68, JALAN JURONG KECHIL, #01- 26, SUITES AT BUKIT TIMAH, 596180"
AS21E00023,929 AQUARIUM PTE. LTD.,"929, TAMPINES STREET 91, #01- 447, TAMPINES PALMSPRING, 520929"
AS90M0570,A G PETS TOA PAYOH,"69, LORONG 4 TOA PAYOH, #01- 367, 310069"
AS22J00057,A1 YU ZHONG YU,"146, POTONG PASIR AVENUE 1, #01- 133, 350146"
AS79M0286,ABC BIRDS CENTRE,"124, BUKIT MERAH LANE, #01- 150, 150124"
AS18C00015,AH BENG AQUARIUM,"471, GEYLANG ROAD, LEVEL 1, 389430"
AS07L00061,AIK GUAN PET TRADING,"197, SIMS AVE, 387502"
AS21J00050,ALTITUDE PETS GLOBAL PTE. LTD.,"360, TANJONG KATONG ROAD, LEVEL 1, 437121"
AS21K00062,ALVIN BETTA PTE. LTD.,"429, JURONG WEST AVENUE 1, #01- 316, 640429"
AS21K00061,ALYSSADOLLS PET INTERNATIONAL PTE. LTD.,"61A, NEIL ROAD, LEVEL 2 AND ROOF MEZZANINE, 88895"
AS05J1609,AMAZON AROWANA AQUARIUM,"28, HOY FATT ROAD, #01- 34, 151028"
AS16J00030,AMB AQUATIC HUB,"176, ORCHARD ROAD, #B2- 02, THE CENTREPOINT, 238843"
AS23M00003,AMIEN PETS LLP,"55, CHANGI ROAD, #02- 22, MILLAGE, 419709"
AS22H00049,ANGELHUB AQUATICS,"3, ST. GEORGE'S ROAD, #01- 113, ST GEORGE'S WEST GARDENS, 320003"
AS22E00030,ANGELIC SECRETS,"462, CRAWFORD LANE, #02- 31, 190462"
AS15K00028,ANIMAL ARTS ACADEMY PTE. LTD.,"9, KENSINGTON PARK ROAD, SERANGOON GARDEN ESTATE, 557261"
AS12C00009,AQUA ALLEY,"7, TAMPINES STREET 32, #01- 05, 529285"
